employee_id,promotion_date,new_job_role_id
1476,2022-11-24,48
1481,2023-12-19,50
1530,2024-03-15,48
1549,2023-11-21,24
1556,2022-11-17,36
1566,2020-08-04,42
1567,2019-10-11,36
1574,2023-10-28,23
1588,2024-09-29,11
1602,2023-05-12,13
1625,2024-07-31,34
1654,2023-10-28,41
1668,2022-05-21,6
1688,2021-09-02,25
1715,2024-05-02,36
1719,2020-03-24,28
1725,2022-06-24,35
1736,2019-10-18,1
1743,2018-11-26,21
1754,2022-10-02,51
1760,2022-09-02,9
1762,2021-08-03,1
1765,2022-01-08,25
1770,2022-03-08,2
1782,2017-10-12,28
1784,2024-06-27,17
1810,2024-06-28,2
1848,2021-05-10,38
1851,2019-03-06,9
1856,2023-10-07,30
1862,2025-06-24,40
1875,2022-02-03,50
1879,2020-02-26,11
1888,2023-04-15,25
1894,2017-12-08,44
1906,2022-11-05,26
1909,2025-03-08,37
1933,2024-06-13,3
1935,2020-08-27,33
1936,2019-06-06,8
1942,2024-06-25,10
1947,2022-02-10,28
1952,2022-03-16,12
1965,2019-06-30,47
1970,2025-07-22,28
1981,2018-02-09,1
1997,2021-04-09,46
2010,2021-03-02,3
2016,2020-07-05,1
2035,2022-07-22,46
2048,2023-07-19,46
2053,2023-08-13,34
2056,2023-06-09,1
2071,2021-06-26,17
2078,2020-04-24,51
2086,2021-11-12,8
2097,2023-11-24,45
2104,2021-06-09,41
2115,2022-11-29,42
2156,2020-04-18,18
2200,2018-05-04,11
2215,2023-07-27,23
2226,2017-11-30,16
2234,2025-06-30,38
2247,2025-07-29,34
2262,2025-03-03,15
2268,2019-01-20,8
2272,2018-06-14,45
2274,2023-05-31,6
2278,2024-07-07,41
2285,2022-11-14,30
2307,2024-02-21,7
2316,2019-05-29,9
2321,2020-07-16,7
2322,2025-03-26,23
2323,2025-01-27,43
2325,2023-03-02,47
2327,2025-05-26,23
2331,2017-07-15,41
2352,2022-08-07,20
2358,2019-08-20,25
2361,2017-03-10,20
2366,2021-04-19,33
2370,2023-04-14,25
2383,2020-09-22,19
2388,2024-02-09,2
2395,2019-02-04,48
2396,2021-11-07,50
2401,2019-07-19,20
2417,2023-08-02,25
2437,2018-06-03,16
2439,2021-12-30,36
2447,2018-09-14,42
2453,2021-05-24,25
2459,2025-03-30,23
2462,2019-06-13,13
2483,2017-04-02,34
2486,2019-10-09,24
2490,2024-11-25,12
2493,2022-06-22,13
2499,2023-09-27,18
2507,2025-07-22,13
2516,2020-09-02,4
2522,2023-06-10,22
2531,2017-08-09,44
2532,2021-10-06,36
2562,2023-04-10,14
2569,2021-07-19,4
2586,2023-05-29,50
2592,2025-03-22,12
2594,2024-10-06,8
2609,2022-11-01,30
2613,2024-06-28,25
2615,2024-04-28,15
2656,2020-04-01,11
2658,2025-07-26,5
2662,2022-09-01,9
2669,2024-12-13,33
2678,2020-09-16,40
2698,2024-06-20,25
2707,2019-11-23,16
2713,2025-03-01,11
2735,2019-09-02,50
2741,2025-03-06,38
2744,2017-12-09,28
2752,2024-12-13,7
2761,2017-08-03,31
2764,2023-12-20,49
2787,2023-11-13,45
2802,2024-08-15,10
2810,2020-10-08,11
2819,2018-12-18,46
2821,2022-12-24,51
2825,2020-12-27,18
2831,2024-07-16,39
2838,2024-02-15,38
2847,2025-06-24,2
2865,2023-06-07,36
2875,2024-02-06,19
2884,2019-01-15,44
2891,2024-03-31,21
2892,2022-06-21,40
2897,2023-10-14,37
2900,2024-03-23,13
2915,2020-06-02,28
2918,2023-12-21,11
2928,2023-09-04,8
2955,2023-02-27,28
2970,2023-04-18,50
2975,2025-06-22,34
2976,2021-06-10,4
2980,2022-07-29,9
2994,2022-01-30,47
3006,2017-08-15,21
3013,2019-07-01,40
3016,2017-11-21,26
3020,2020-04-11,47
3024,2018-08-12,51
3029,2020-02-06,4
3033,2023-04-22,51
3036,2020-02-06,48
3041,2020-07-28,41
3048,2022-05-11,18
3077,2021-01-09,18
3079,2024-11-30,43
3080,2024-10-12,11
3084,2022-01-12,7
3085,2025-02-16,4
3098,2024-09-14,25
3101,2019-08-07,38
3102,2021-01-15,14
3121,2021-06-13,44
3127,2024-05-27,25
3128,2023-07-13,29
3133,2025-06-26,44
3136,2024-09-26,5
3142,2018-03-28,28
3147,2025-07-28,13
3156,2022-04-10,20
3163,2022-04-05,19
3164,2017-12-28,18
3181,2022-02-11,9
3183,2018-04-28,16
3201,2022-10-31,45
3210,2021-01-12,28
3219,2022-08-17,26
3220,2019-11-03,19
3224,2020-08-10,22
3226,2021-05-17,36
3231,2021-12-18,43
3237,2025-04-14,30
3241,2022-01-30,32
3245,2023-01-17,21
3250,2021-12-04,45
3254,2021-06-05,43
3260,2022-04-26,49
3270,2025-05-04,29
3271,2024-06-03,22
3275,2020-10-30,6
3289,2024-06-24,10
3297,2020-04-09,27
3301,2021-10-02,31
3302,2022-07-31,24
3325,2022-07-06,8
3330,2020-11-18,38
3333,2020-05-07,1
3334,2022-03-08,27
3337,2025-01-21,36
3355,2021-02-14,23
3356,2019-09-18,44
3357,2022-07-27,23
3369,2024-07-02,22
3372,2019-05-24,1
3378,2020-11-29,44
3385,2021-10-18,49
3394,2023-05-27,6
3408,2024-01-10,35
3410,2023-12-26,27
3414,2023-12-03,12
3430,2023-10-25,50
3440,2022-08-20,10
3479,2021-10-25,47
3490,2020-02-20,19
3493,2022-08-10,29
3495,2024-02-03,13
3496,2021-02-01,51
3501,2024-03-03,34
3530,2023-11-15,14
3534,2022-03-10,13
3541,2021-10-02,1
3588,2018-12-21,47
3609,2023-10-04,29
3616,2020-12-28,42
3630,2021-04-10,26
3635,2020-09-19,33
3637,2023-12-08,22
3643,2020-08-05,36
3650,2022-11-17,30
3660,2022-06-11,24
3661,2017-06-12,38
3670,2022-12-20,43
3672,2024-01-15,31
3674,2021-09-04,44
3689,2023-12-23,5
3690,2021-11-28,33
3695,2023-08-15,41
3699,2019-07-18,10
3720,2017-10-01,22
3722,2022-01-19,19
3723,2019-02-27,6
3727,2023-01-23,48
3728,2022-04-22,47
3731,2018-04-12,34
3745,2018-12-03,6
3749,2020-10-15,36
3773,2025-02-27,14
3801,2024-08-02,8
3807,2024-01-12,10
3809,2020-10-28,5
3814,2022-06-09,51
3818,2020-07-08,49
3821,2017-11-02,19
3834,2022-05-31,5
3837,2020-09-22,1
3860,2022-05-21,30
3878,2019-07-30,46
3886,2018-10-11,51
3900,2023-12-12,37
3907,2024-04-27,30
3920,2025-04-20,50
3949,2019-07-29,8
3951,2023-07-10,28
3961,2023-04-26,11
3978,2021-12-27,43
3984,2022-01-17,21
4010,2020-11-01,15
4012,2019-09-17,18
4026,2019-01-09,47
4030,2023-03-13,33
4031,2024-09-13,18
4033,2018-09-30,16
4034,2022-03-22,36
4052,2019-12-05,51
4063,2020-06-15,5
4091,2020-04-21,3
4096,2023-06-07,42
4107,2023-09-12,32
4113,2025-03-02,3
4123,2024-07-31,35
4129,2022-10-11,36
4130,2021-04-05,36
4137,2023-04-03,5
4147,2019-04-12,21
4157,2021-09-02,25
4158,2025-01-09,42
4174,2020-03-12,38
4177,2019-08-25,50
4187,2020-03-17,33
4193,2021-09-04,21
4201,2018-03-21,16
4204,2019-06-06,34
4212,2023-05-15,15
4213,2017-07-15,43
4216,2023-03-30,45
4221,2020-01-13,48
4230,2024-08-31,38
4234,2021-12-24,38
4248,2025-04-25,49
4290,2024-02-29,50
4299,2022-09-05,41
4302,2018-06-14,30
4353,2018-04-08,7
4355,2019-06-16,11
4372,2022-08-28,18
4386,2023-12-04,14
4407,2022-10-31,44
4420,2020-12-12,31
4427,2022-11-06,23
4432,2025-02-14,4
4440,2024-05-14,45
4453,2020-12-03,27
4461,2023-12-28,29
4466,2022-12-23,45
4479,2022-12-09,45
4505,2020-10-16,42
4509,2021-05-26,28
4511,2021-04-14,47
4512,2020-11-09,18
4521,2025-04-19,7
4527,2024-12-08,18
4534,2020-06-30,30
4540,2023-04-05,19
4550,2023-11-10,26
4563,2024-04-21,46
4573,2024-04-26,47
4598,2022-03-09,48
4616,2022-09-09,15
4619,2020-01-25,12
4624,2018-01-03,16
4647,2018-11-30,51
4652,2018-12-09,10
4663,2023-04-05,35
4668,2020-07-16,36
4677,2022-03-28,47
4684,2025-02-14,41
4686,2020-10-10,24
4689,2019-10-02,38
4695,2019-08-13,8
4710,2020-12-31,37
4720,2021-06-11,7
4726,2020-06-25,22
4728,2025-03-27,1
4758,2025-04-03,14
4763,2024-04-23,8
4765,2019-02-17,44
4774,2023-11-12,40
4780,2021-02-28,43
4820,2024-02-04,4
4824,2023-06-15,23
4839,2025-03-18,2
4855,2017-07-28,11
4865,2024-01-07,9
4875,2021-07-14,26
4878,2018-05-18,17
4901,2024-11-14,2
4906,2021-02-28,34
4916,2023-09-26,16
4929,2024-08-06,40
4945,2023-07-28,22
4949,2024-12-31,8
4987,2021-03-30,13
4991,2022-07-30,31
4994,2020-10-16,8
